Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-02 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-03 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-04 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-05 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-08 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-09 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-10 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-11 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-12 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-15 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-16 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-17 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-18 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-19 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-22 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-23 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-24 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-25 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-26 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-29 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-09-30 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-01 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-02 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-03 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-06 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-07 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-08 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-09 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-10 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-13 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-14 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-15 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-16 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-17 00:00:00-04:00,10.359999656677246,10.359999656677246,10.359999656677246,10.359999656677246,0,0.0,0.0
2025-10-20 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,500,0.0,0.0
2025-10-21 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-22 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-23 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-24 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-27 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-28 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-29 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-30 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-10-31 00:00:00-04:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-03 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-04 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-05 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-06 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-07 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-10 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-11 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-12 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-13 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-14 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-17 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-18 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-19 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-20 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-21 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-24 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-25 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-26 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-11-28 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-01 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-02 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-03 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-04 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-05 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-08 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-09 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-10 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-11 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-12 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-15 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-16 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-17 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-18 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-19 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-22 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-23 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-24 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-26 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-29 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-30 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2025-12-31 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-02 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-05 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-06 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-07 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-08 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-09 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-12 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-13 00:00:00-05:00,12.329999923706055,12.329999923706055,12.329999923706055,12.329999923706055,0,0.0,0.0
2026-01-14 00:00:00-05:00,11.25,11.25,11.25,11.25,100,0.0,0.0
2026-01-15 00:00:00-05:00,11.25,11.25,11.25,11.25,0,0.0,0.0
2026-01-16 00:00:00-05:00,11.25,11.25,11.25,11.25,0,0.0,0.0
2026-01-20 00:00:00-05:00,11.25,11.25,11.25,11.25,0,0.0,0.0
2026-01-21 00:00:00-05:00,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,100,0.0,0.0
2026-01-22 00:00:00-05:00,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0,0.0,0.0
2026-01-23 00:00:00-05:00,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0,0.0,0.0
2026-01-26 00:00:00-05:00,10.569999694824219,10.569999694824219,10.569999694824219,10.569999694824219,0,0.0,0.0
2026-01-27 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,100,0.0,0.0
2026-01-28 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-01-29 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-01-30 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-02 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-03 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-04 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-05 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-06 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-09 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-10 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-11 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-12 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-13 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-17 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-18 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-19 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-20 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-23 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-24 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-25 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-26 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-02-27 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-02 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-03 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-04 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-05 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-06 00:00:00-05:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-09 00:00:00-04:00,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0.0,0.0
2026-03-10 00:00:00-04:00,10.859999656677246,10.859999656677246,10.859999656677246,10.859999656677246,200,0.0,0.0
2026-03-11 00:00:00-04:00,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,200,0.0,0.0
2026-03-12 00:00:00-04:00,10.600000381469727,10.899999618530273,10.600000381469727,10.600000381469727,1100,0.0,0.0
2026-03-13 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-16 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-17 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-18 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-19 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-20 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-23 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-24 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-25 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-26 00:00:00-04:00,10.600000381469727,10.600000381469727,10.600000381469727,10.600000381469727,0,0.0,0.0
2026-03-27 00:00:00-04:00,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,100,0.0,0.0
2026-03-30 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,50100,0.0,0.0
2026-03-31 00:00:00-04:00,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,100,0.0,0.0
2026-04-01 00:00:00-04:00,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0.0,0.0
2026-04-02 00:00:00-04:00,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0.0,0.0
2026-04-06 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,100,0.0,0.0
2026-04-07 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-08 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-09 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-10 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-13 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-14 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-15 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-16 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-17 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
2026-04-20 00:00:00-04:00,10.699999809265137,10.699999809265137,10.699999809265137,10.699999809265137,0,0.0,0.0
